Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
746.44	92.906	93.4259	1	0
747.19	92.581	93.4272	1	0
747.94	93.03	93.4286	1	0
748.69	93.526	93.43	1	0
749.44	92.739	93.4314	1	0
750.19	92.72	93.4328	1	0
750.94	93.01	93.4341	1	0
751.69	93.491	93.4355	1	0
752.44	93.093	93.4368	1	0
753.19	93.449	93.4382	1	0
753.94	92.99	93.4395	1	0
754.69	92.968	93.4409	1	0
755.44	93.03	93.4422	1	0
756.19	92.845	93.4435	1	0
756.94	93.142	93.4449	1	0
757.69	93.46	93.4462	1	0
758.44	92.791	93.4475	1	0
759.18	93.42	93.4488	1	0
759.93	93.075	93.4501	1	0
760.68	93.137	93.4514	1	0
761.43	93.314	93.4527	1	0
762.18	93.941	93.454	1	0
762.93	92.385	93.4553	1	0
763.68	92.602	93.4566	1	0
764.43	92.815	93.4579	1	0
765.18	92.875	93.4592	1	0
765.92	93.055	93.4604	1	0
766.67	93.436	93.4617	1	0
767.42	93.161	93.463	1	0
768.17	93.372	93.4643	1	0
768.92	92.755	93.4655	1	0
769.66	93.386	93.4668	1	0
770.41	92.617	93.468	1	0
771.16	92.376	93.4693	1	0
771.91	92.97	93.4705	1	0
772.66	93.722	93.4717	1	0
773.4	92.896	93.473	1	0
774.15	93.474	93.4742	1	0
774.9	93.376	93.4754	1	0
775.65	92.813	93.4767	1	0
776.39	93.239	93.4779	1	0
777.14	92.675	93.4791	1	0
777.89	93.189	93.4803	1	0
778.64	92.529	93.4815	1	0
779.38	92.984	93.4827	1	0
780.13	93.271	93.4839	1	0
780.88	93.019	93.4851	1	0
781.62	93.443	93.4863	1	0
782.37	93.031	93.4875	1	0
783.12	93.047	93.4887	1	0
783.86	92.882	93.4898	1	0
784.61	92.915	93.491	1	0
785.36	92.755	93.4922	1	0
786.1	92.924	93.4933	1	0
786.85	92.546	93.4945	1	0
787.59	93.47	93.4957	1	0
788.34	93.156	93.4968	1	0
789.09	93.455	93.498	1	0
789.83	92.27	93.4991	1	0
790.58	92.867	93.5003	1	0
791.32	93.164	93.5014	1	0
792.07	92.9	93.5025	1	0
792.82	93.189	93.5037	1	0
793.56	92.689	93.5048	1	0
794.31	92.627	93.5059	1	0
795.05	92.707	93.5071	1	0
795.8	93.427	93.5082	1	0
796.54	93.11	93.5093	1	0
797.29	93.481	93.5104	1	0
798.03	93.004	93.5115	1	0
798.78	92.827	93.5126	1	0
799.52	92.617	93.5137	1	0
800.27	92.804	93.5148	1	0
801.01	93.353	93.5159	1	0
801.76	93.048	93.517	1	0
802.5	93.008	93.5181	1	0
803.25	93.251	93.5192	1	0
803.99	93.367	93.5203	1	0
804.73	93.004	93.5213	1	0
805.48	92.894	93.5224	1	0
806.22	93.082	93.5235	1	0
806.97	93.527	93.5246	1	0
807.71	93.598	93.5256	1	0
808.46	93.36	93.5267	1	0
809.2	93.319	93.5277	1	0
809.94	92.1	93.5288	1	0
810.69	92.746	93.5298	1	0
811.43	93.145	93.5309	1	0
812.17	93.063	93.5319	1	0
812.92	93.011	93.533	1	0
813.66	92.21	93.534	1	0
814.4	93.117	93.535	1	0
815.15	93.365	93.5361	1	0
815.89	92.585	93.5371	1	0
816.63	93.283	93.5381	1	0
817.38	93.158	93.5392	1	0
818.12	93.028	93.5402	1	0
818.86	92.327	93.5412	1	0
819.61	92.909	93.5422	1	0
820.35	93.349	93.5432	1	0
821.09	93.031	93.5442	1	0
821.83	92.917	93.5452	1	0
822.58	92.456	93.5462	1	0
823.32	92.821	93.5472	1	0
824.06	92.956	93.5482	1	0
